book_name,level,lesson_number,lesson_title,article,german,word_type,persian,english,plural,verb_forms,example_de,example_fa,collocation_de,collocation_fa
Starten Wir,A1,1,Super!,🔴 die,Bluse,Noun,بلوز,blouse,die Blusen,,Sie trägt eine neue Bluse.,او بلوز جدیدی پوشیده.,eine Bluse tragen,بلوز پوشیدن
Starten Wir,A1,1,Super!,🔴 die,Jeans,Noun,شلوار جین,jeans,die Jeans,,Die Jeans ist blau.,شلوار جین آبی است.,eine Jeans tragen,شلوار جین پوشیدن
Starten Wir,A1,1,Super!,🔴 die,Jacke,Noun,کاپشن,jacket,die Jacken,,Zieh deine Jacke an!,کاپشت را بپوش!,die Jacke anziehen,کاپشن پوشیدن
Starten Wir,A1,1,Super!,🔵 der,Computer,Noun,کامپیوتر,computer,die Computer,,Der Computer ist schnell.,کامپیوتر سریع است.,am Computer arbeiten,با کامپیوتر کار کردن
Starten Wir,A1,1,Super!,🟢 das,Auto,Noun,ماشین,car,die Autos,,Das Auto ist rot.,ماشین قرمز است.,Auto fahren,رانندگی کردن
Starten Wir,A1,1,Super!,🔵 der,Bus,Noun,اتوبوس,bus,die Busse,,Der Bus kommt um 8 Uhr.,اتوبوس ساعت ۸ می‌آید.,den Bus nehmen,اتوبوس گرفتن
Starten Wir,A1,1,Super!,🔴 die,Musik,Noun,موسیقی,music,-,,Ich höre gern Musik.,من موسیقی دوست دارم.,Musik hören,موسیقی گوش دادن
Starten Wir,A1,1,Super!,🔵 der,Kaffee,Noun,قهوه,coffee,die Kaffees,,Ich trinke einen Kaffee.,من قهوه می‌نوشم.,Kaffee trinken,قهوه نوشیدن
Starten Wir,A1,1,Super!,🔵 der,Tee,Noun,چای,tea,die Tees,,Möchtest du einen Tee?,چای می‌خواهی؟,Tee trinken,چای نوشیدن
Starten Wir,A1,1,Super!,🟢 das,Bier,Noun,آبجو,beer,die Biere,,Das Bier ist kühl.,آبجو خنک است.,Bier trinken,آبجو نوشیدن
Starten Wir,A1,1,Super!,🟢 das,Müsli,Noun,موسلی,muesli,die Müslis,,Ich esse Müsli zum Frühstück.,من صبحانه موسلی می‌خورم.,Müsli essen,موسلی خوردن
Starten Wir,A1,1,Super!,🔴 die,Pizza,Noun,پیتزا,pizza,die Pizzen,,Die Pizza schmeckt gut.,پیتزا خوشمزه است.,Pizza essen,پیتزا خوردن
Starten Wir,A1,1,Super!,🔴 die,Tomate,Noun,گوجه‌فرنگی,tomato,die Tomaten,,Die Tomate ist rot.,گوجه‌فرنگی قرمز است.,,
Starten Wir,A1,1,Super!,🔴 die,Sprache,Noun,زبان,language,die Sprachen,,Die deutsche Sprache ist schwer.,زبان آلمانی سخت است.,eine Sprache lernen,زبانی یاد گرفتن
Starten Wir,A1,1,Super!,,sprechen,Verb,صحبت کردن,to speak,,sprach | gesprochen,Wir sprechen Deutsch.,ما آلمانی صحبت می‌کنیم.,mit jemandem sprechen,با کسی صحبت کردن
Starten Wir,A1,1,Super!,🔵 der,Sport,Noun,ورزش,sport,-,,Machst du gern Sport?,ورزش دوست داری؟,Sport machen,ورزش کردن
Starten Wir,A1,1,Super!,,gut,Adjective,خوب,good,,,Das ist sehr gut.,این خیلی خوب است.,,
Starten Wir,A1,1,Super!,,gerne,Adverb,با کمال میل,gladly,,,Ich komme gerne.,من با کمال میل می‌آیم.,,
Starten Wir,A1,1,Super!,,möchten,Verb,خواستن,would like,,möchte (Konj.) | gemocht (von mögen),Ich möchte einen Kaffee.,من قهوه می‌خواهم.,,
Starten Wir,A1,1,Super!,,joggen,Verb,دویدن آهسته,to jog,,joggte | gejoggt,Ich jogge im Park.,من در پارک می‌دوم.,,
Starten Wir,A1,1,Super!,,studieren,Verb,تحصیل کردن,to study,,studierte | studiert,Sie studiert Medizin.,او پزشکی می‌خواند.,an der Universität studieren,در دانشگاه تحصیل کردن
Starten Wir,A1,1,Super!,🔴 die,Medizin,Noun,پزشکی,medicine,-,,Ich studiere Medizin.,من پزشکی می‌خوانم.,Medizin studieren,پزشکی خواندن
Starten Wir,A1,1,Super!,,null,Number,صفر,zero,,,Null Grad Celsius.,صفر درجه سلسیوس.,,
Starten Wir,A1,1,Super!,,eins,Number,یک,one,,,Es ist eins.,ساعت یک است.,,
Starten Wir,A1,1,Super!,,zwei,Number,دو,two,,,Ich habe zwei Hände.,من دو دست دارم.,,
Starten Wir,A1,1,Super!,,drei,Number,سه,three,,,Wir haben drei Hunde.,ما سه سگ داریم.,,
Starten Wir,A1,1,Super!,,vier,Number,چهار,four,,,Vier plus vier ist acht.,چهار بعلاوه چهار هشت است.,,
Starten Wir,A1,1,Super!,,fünf,Number,پنج,five,,,Ich bin fünf Jahre alt.,من پنج سال دارم.,,
Starten Wir,A1,1,Super!,,sechs,Number,شش,six,,,Es ist sechs Uhr.,ساعت شش است.,,
Starten Wir,A1,1,Super!,,sieben,Number,هفت,seven,,,Sieben Tage hat eine Woche.,هفته هفت روز دارد.,,
Starten Wir,A1,1,Super!,,acht,Number,هشت,eight,,,Acht ist gerade.,هشت زوج است.,,
Starten Wir,A1,1,Super!,,neun,Number,نه,nine,,,Neun plus eins ist zehn.,نه بعلاوه یک ده است.,,
Starten Wir,A1,1,Super!,,zehn,Number,ده,ten,,,Zehn Cent bitte.,ده سنت لطفاً.,,
Starten Wir,A1,2,Menschen,🔵 der,Mensch,Noun,انسان,human,die Menschen,,Der Mensch ist klug.,انسان باهوش است.,,
Starten Wir,A1,2,Menschen,🔴 die,Stadt,Noun,شهر,city,die Städte,,Ich lebe in der Stadt.,من در شهر زندگی می‌کنم.,in der Stadt leben,در شهر زندگی کردن
Starten Wir,A1,2,Menschen,,cool,Adjective,باحال,cool,,,Das ist cool!,این باحال است!,,
Starten Wir,A1,2,Menschen,,sexy,Adjective,جذاب,sexy,,,Der Film ist sehr sexy.,فیلم خیلی جذاب است.,,
Starten Wir,A1,2,Menschen,,ein,Determiner,یک,a/an,,,Ich habe ein Auto.,من یک ماشین دارم.,,
Starten Wir,A1,2,Menschen,,kein,Determiner,هیچ,no/not a,,,Ich habe keine Zeit.,من وقتی ندارم.,,
Starten Wir,A1,2,Menschen,🔴 die,Katze,Noun,گربه,cat,die Katzen,,Die Katze schläft.,گربه خواب است.,eine Katze haben,گربه داشتن
Starten Wir,A1,2,Menschen,🔵 der,Hund,Noun,سگ,dog,die Hunde,,Der Hund bellt.,سگ پارس می‌کند.,einen Hund haben,سگ داشتن
Starten Wir,A1,2,Menschen,,und,Conjunction,و,and,,,Brot und Butter,نان و کره,,
Starten Wir,A1,2,Menschen,,oder,Conjunction,یا,or,,,Kaffee oder Tee?,قهوه یا چای؟,,
Starten Wir,A1,2,Menschen,,Auf Wiedersehen!,Phrase,خداحافظ,goodbye,,,Auf Wiedersehen!,خداحافظ!,,
Starten Wir,A1,2,Menschen,,Bis bald!,Phrase,به زودی,see you soon,,,Bis bald!,به زودی!,,
Starten Wir,A1,2,Menschen,🟢 das,Pony,Noun,اسب کوچک,pony,die Ponys,,Das Pony ist klein.,اسب کوچک کوچک است.,,
Starten Wir,A1,2,Menschen,,es,Pronoun,آن,it,,,Es ist schön.,آن زیبا است.,,
Starten Wir,A1,2,Menschen,,lieben,Verb,دوست داشتن,to love,,liebte | geliebt,Ich liebe meine Familie.,من خانواده‌ام را دوست دارم.,jemanden lieben,کسی را دوست داشتن
Starten Wir,A1,2,Menschen,🟢 das,Hobby,Noun,سرگرمی,hobby,die Hobbys,,Was ist dein Hobby?,سرگرمی تو چیست؟,ein Hobby haben,سرگرمی داشتن
Starten Wir,A1,2,Menschen,🔵 der,Fußball,Noun,فوتبال,football,-,,Ich spiele gern Fußball.,من فوتبال بازی می‌کنم.,Fußball spielen,فوتبال بازی کردن
Starten Wir,A1,2,Menschen,🔵 der,Freund,Noun,دوست (مرد),friend (male),die Freunde,,Das ist mein Freund.,این دوست من است.,einen Freund treffen,دوست را دیدن
Starten Wir,A1,2,Menschen,🔴 die,Freundin,Noun,دوست (زن),friend (female),die Freundinnen,,Sie ist meine Freundin.,او دوست من است.,eine Freundin haben,دوست داشتن
Starten Wir,A1,2,Menschen,🟢 das,Yoga,Noun,یوگا,yoga,-,,Ich mache Yoga.,من یوگا کار می‌کنم.,Yoga machen,یوگا کار کردن
Starten Wir,A1,2,Menschen,🔴 die,Familie,Noun,خانواده,family,die Familien,,Meine Familie ist groß.,خانواده من بزرگ است.,die Familie besuchen,از خانواده دیدن کردن
Starten Wir,A1,2,Menschen,🔵 der,Vater,Noun,پدر,father,-,,Mein Vater arbeitet.,پدرم کار می‌کند.,der Vater von,پدرِ ...
Starten Wir,A1,2,Menschen,🔴 die,Mutter,Noun,مادر,mother,die Mütter,,Meine Mutter kocht.,مادرم آشپزی می‌کند.,die Mutter von,مادرِ ...
Starten Wir,A1,2,Menschen,,Eltern,Noun,والدین,parents,die Eltern,,Meine Eltern leben in München.,والدین من در مونیخ هستند.,,
Starten Wir,A1,2,Menschen,🔵 der,Bruder,Noun,برادر,brother,-,,Ich habe einen Bruder.,من یک برادر دارم.,einen Bruder haben,برادر داشتن
Starten Wir,A1,2,Menschen,🔴 die,Schwester,Noun,خواهر,sister,die Schwestern,,Meine Schwester ist 10.,خواهرم ۱۰ سال دارد.,eine Schwester haben,خواهر داشتن
Starten Wir,A1,2,Menschen,,Geschwister,Noun,خواهر و برادر,siblings,die Geschwister,,Wie viele Geschwister hast du?,چند خواهر و برادر داری؟,,
Starten Wir,A1,2,Menschen,🔵 der,Großvater,Noun,پدربزرگ,grandfather,-,,Mein Großvater ist 80.,پدربزرگم ۸۰ سال دارد.,,
Starten Wir,A1,2,Menschen,🔴 die,Großmutter,Noun,مادربزرگ,grandmother,die Großmütter,,Die Großmutter backt Kuchen.,مادربزرگ کیک می‌پزد.,,
Starten Wir,A1,2,Menschen,,Großeltern,Noun,پدربزرگ و مادربزرگ,grandparents,die Großeltern,,Die Großeltern besuchen uns.,پدربزرگ و مادربزرگ به دیدن ما می‌آیند.,,
Starten Wir,A1,2,Menschen,🔵 der,Mann,Noun,مرد,man,die Männer,,Der Mann liest.,مرد می‌خواند.,der Mann von,شوهرِ ...
Starten Wir,A1,2,Menschen,🔵 der,Junge,Noun,پسر,boy,die Jungen,,Der Junge spielt.,پسر بازی می‌کند.,ein kleiner Junge,پسر کوچک
Starten Wir,A1,2,Menschen,🟢 das,Mädchen,Noun,دختر,girl,die Mädchen,,Das Mädchen tanzt.,دختر می‌رقصد.,ein kleines Mädchen,دختر کوچک
Starten Wir,A1,2,Menschen,,klein,Adjective,کوچک,small,,,Das Baby ist klein.,نوزاد کوچک است.,,
Starten Wir,A1,2,Menschen,,Wie alt ist...?,Phrase,چند ساله؟,how old is...?,,,Wie alt ist dein Bruder?,برادرت چند ساله است؟,,
Starten Wir,A1,2,Menschen,,Sehr gut.,Phrase,خیلی خوب,very good,,,"Sehr gut, danke!",خیلی خوب ممنون!,,
Starten Wir,A1,2,Menschen,🟢 das,Handy,Noun,موبایل,mobile phone,die Handys,,Mein Handy ist neu.,موبایل من جدید است.,am Handy sein,پای موبایل بودن
Starten Wir,A1,2,Menschen,🟢 das,Smartphone,Noun,گوشی هوشمند,smartphone,die Smartphones,,Ich kaufe ein Smartphone.,من گوشی هوشمند می‌خرم.,ein Smartphone haben,گوشی هوشمند داشتن
Starten Wir,A1,2,Menschen,🔵 der,Laptop,Noun,لپ‌تاپ,laptop,die Laptops,,Der Laptop ist schnell.,لپ‌تاپ سریع است.,am Laptop arbeiten,با لپ‌تاپ کار کردن
Starten Wir,A1,2,Menschen,,elf,Number,یازده,eleven,,,Es ist elf Uhr.,ساعت یازده است.,,
Starten Wir,A1,2,Menschen,,zwölf,Number,دوازده,twelve,,,Zwölf Monate hat ein Jahr.,سال دوازده ماه دارد.,,
Starten Wir,A1,2,Menschen,🔵 der,Friseur,Noun,آرایشگر (مرد),hairdresser (male),die Friseure,,Der Friseur schneidet Haare.,آرایشگر مو کوتاه می‌کند.,zum Friseur gehen,به آرایشگاه رفتن
Starten Wir,A1,2,Menschen,🔴 die,Friseurin,Noun,آرایشگر (زن),hairdresser (female),die Friseurinnen,,Die Friseurin ist freundlich.,آرایشگر زن مهربان است.,,
Starten Wir,A1,2,Menschen,🔵 der,Architekt,Noun,معمار (مرد),architect (male),die Architekten,,Der Architekt plant Häuser.,معمار خانه طراحی می‌کند.,,
Starten Wir,A1,2,Menschen,🔴 die,Architektin,Noun,معمار (زن),architect (female),die Architektinnen,,Sie ist Architektin.,او معمار زن است.,,
Starten Wir,A1,2,Menschen,🔵 der,Job,Noun,شغل,job,die Jobs,,Ich suche einen neuen Job.,من دنبال شغل جدید هستم.,einen Job suchen,دنبال شغل گشتن
Starten Wir,A1,2,Menschen,🔵 der,Kollege,Noun,همکار (مرد),colleague (male),die Kollegen,,Mein Kollege ist nett.,همکارم خوش‌اخلاق است.,einen Kollegen treffen,همکار را دیدن
Starten Wir,A1,2,Menschen,🔴 die,Kollegin,Noun,همکار (زن),colleague (female),die Kolleginnen,,Die Kollegin hilft mir.,همکار زن کمک می‌کند.,eine Kollegin haben,همکار داشتن
Starten Wir,A1,2,Menschen,🔵 der,Chef,Noun,رئیس (مرد),boss (male),die Chefs,,Der Chef ist streng.,رئیس سخت‌گیر است.,der Chef von,رئیسِ ...
Starten Wir,A1,2,Menschen,🔴 die,Chefin,Noun,رئیس (زن),boss (female),die Chefinnen,,Die Chefin ist klug.,رئیس زن باهوش است.,,
Starten Wir,A1,3,Essen und Trinken,🟢 das,Obst,Noun,میوه,fruit,-,,Obst ist gesund.,میوه سالم است.,Obst essen,میوه خوردن
Starten Wir,A1,3,Essen und Trinken,🔴 die,Banane,Noun,موز,banana,die Bananen,,Die Banane ist gelb.,موز زرد است.,eine Banane essen,موز خوردن
Starten Wir,A1,3,Essen und Trinken,🔴 die,Orange,Noun,پرتقال,orange,die Orangen,,Ich esse eine Orange.,من پرتقال می‌خورم.,eine Orange schälen,پرتقال پوست کندن
Starten Wir,A1,3,Essen und Trinken,🔵 der,Apfel,Noun,سیب,apple,-,,Der Apfel ist rot.,سیب قرمز است.,einen Apfel essen,سیب خوردن
Starten Wir,A1,3,Essen und Trinken,🔴 die,Zitrone,Noun,لیمو,lemon,die Zitronen,,Die Zitrone ist sauer.,لیمو ترش است.,eine Zitrone auspressen,لیمو آب گرفتن
Starten Wir,A1,3,Essen und Trinken,🟢 das,Gemüse,Noun,سبزیجات,vegetables,-,,Gemüse ist wichtig.,سبزیجات مهم است.,Gemüse kochen,سبزی پختن
Starten Wir,A1,3,Essen und Trinken,🔴 die,Kartoffel,Noun,سیب‌زمینی,potato,die Kartoffeln,,Ich koche Kartoffeln.,من سیب‌زمینی می‌پزم.,Kartoffeln kochen,سیب‌زمینی پختن
Starten Wir,A1,3,Essen und Trinken,🔴 die,Möhre,Noun,هویج,carrot,die Möhren,,Die Möhre ist orange.,هویج نارنجی است.,,
Starten Wir,A1,3,Essen und Trinken,🔵 der,Salat,Noun,سالاد,salad,die Salate,,Wir essen Salat.,ما سالاد می‌خوریم.,Salat machen,سالاد درست کردن
Starten Wir,A1,3,Essen und Trinken,,trinken,Verb,نوشیدن,to drink,,trank | getrunken,Ich trinke Wasser.,من آب می‌نوشم.,etwas trinken,چیزی نوشیدن
Starten Wir,A1,3,Essen und Trinken,🟢 das,Getränk,Noun,نوشیدنی,drink,die Getränke,,Welches Getränk möchtest du?,کدام نوشیدنی را می‌خواهی؟,ein Getränk bestellen,نوشیدنی سفارش دادن
Starten Wir,A1,3,Essen und Trinken,🔵 der,Orangensaft,Noun,آب پرتقال,orange juice,die Orangensäfte,,Der Orangensaft ist frisch.,آب پرتقال تازه است.,,
Starten Wir,A1,3,Essen und Trinken,🟢 das,Wasser,Noun,آب,water,-,,Das Wasser ist kalt.,آب سرد است.,Wasser trinken,آب نوشیدن
Starten Wir,A1,3,Essen und Trinken,🔵 der,Apfelsaft,Noun,آب سیب,apple juice,die Apfelsäfte,,Apfelsaft ist süß.,آب سیب شیرین است.,,
Starten Wir,A1,3,Essen und Trinken,🔵 der,Wein,Noun,شراب,wine,die Weine,,Der Wein ist rot.,شراب قرمز است.,Wein trinken,شراب نوشیدن
Starten Wir,A1,3,Essen und Trinken,🔴 die,Cola,Noun,کولا,cola,die Colas,,Ich trinke eine Cola.,من کولا می‌نوشم.,,
Starten Wir,A1,3,Essen und Trinken,🔴 die,Milch,Noun,شیر,milk,-,,Milch ist weiß.,شیر سفید است.,Milch trinken,شیر نوشیدن
Starten Wir,A1,3,Essen und Trinken,🔵 der,Milchkaffee,Noun,قهوه شیر,coffee with milk,die Milchkaffees,,Der Milchkaffee ist lecker.,قهوه شیر خوشمزه است.,,
Starten Wir,A1,3,Essen und Trinken,,essen,Verb,خوردن,to eat,,aß | gegessen,Ich esse Brot.,من نان می‌خورم.,etwas essen,چیزی خوردن
Starten Wir,A1,3,Essen und Trinken,,Lebensmittel,Noun,مواد غذایی,groceries,die Lebensmittel,,Wir kaufen Lebensmittel.,ما مواد غذایی می‌خریم.,Lebensmittel kaufen,مواد غذایی خریدن
Starten Wir,A1,3,Essen und Trinken,🔴 die,Marmelade,Noun,مربا,jam,die Marmeladen,,Die Marmelade ist süß.,مربا شیرین است.,,
Starten Wir,A1,3,Essen und Trinken,🟢 das,Milchprodukt,Noun,لبنیات,dairy product,die Milchprodukte,,Joghurt ist ein Milchprodukt.,ماست لبنیات است.,,
Starten Wir,A1,3,Essen und Trinken,🔵 der,Käse,Noun,پنیر,cheese,-,,Der Käse ist gelb.,پنیر زرد است.,Käse essen,پنیر خوردن
Starten Wir,A1,3,Essen und Trinken,🔵 der,Joghurt,Noun,ماست,yogurt,die Joghurts,,Der Joghurt ist kühl.,ماست خنک است.,Joghurt essen,ماست خوردن
Starten Wir,A1,3,Essen und Trinken,🔴 die,Butter,Noun,کره,butter,-,,Die Butter ist weich.,کره نرم است.,Butter aufs Brot tun,کره روی نان زدن
Starten Wir,A1,3,Essen und Trinken,🟢 das,Öl,Noun,روغن,oil,die Öle,,Das Öl ist gesund.,روغن سالم است.,,
Starten Wir,A1,3,Essen und Trinken,🔵 der,Reis,Noun,برنج,rice,-,,Ich esse gern Reis.,من برنج دوست دارم.,Reis kochen,برنج پختن
Starten Wir,A1,3,Essen und Trinken,🟢 das,Fleisch,Noun,گوشت,meat,-,,Das Fleisch ist teuer.,گوشت گران است.,Fleisch essen,گوشت خوردن
Starten Wir,A1,3,Essen und Trinken,🔵 der,Fisch,Noun,ماهی,fish,die Fische,,Der Fisch ist frisch.,ماهی تازه است.,Fisch essen,ماهی خوردن
Starten Wir,A1,3,Essen und Trinken,🟢 das,Hähnchen,Noun,مرغ,chicken,-,,Das Hähnchen ist gebraten.,مرغ سرخ شده است.,,
Starten Wir,A1,3,Essen und Trinken,🔵 der,Hamburger,Noun,همبرگر,hamburger,die Hamburger,,Ich esse einen Hamburger.,من همبرگر می‌خورم.,,
Starten Wir,A1,3,Essen und Trinken,🟢 das,Brot,Noun,نان,bread,die Brote,,Das Brot ist alt.,نان کهنه است.,Brot schmieren,نان آماده کردن
Starten Wir,A1,3,Essen und Trinken,🔴 die,Lasagne,Noun,لازانیا,lasagna,die Lasagnen,,Die Lasagne ist lecker.,لازانیا خوشمزه است.,,
Starten Wir,A1,3,Essen und Trinken,🟢 das,Croissant,Noun,کرواسان,croissant,die Croissants,,Das Croissant ist butterig.,کرواسان کره‌ای است.,,
Starten Wir,A1,3,Essen und Trinken,🟢 das,Brötchen,Noun,نان رول,bread roll,die Brötchen,,Ich kaufe zwei Brötchen.,من دو نان رول می‌خرم.,,
Starten Wir,A1,3,Essen und Trinken,🔵 der,Toast,Noun,تست,toast,die Toasts,,Der Toast ist braun.,تست قهوه‌ای است.,,
Starten Wir,A1,3,Essen und Trinken,🔵 der,Honig,Noun,عسل,honey,-,,Der Honig ist süß.,عسل شیرین است.,,
Starten Wir,A1,3,Essen und Trinken,🟢 das,Ei,Noun,تخم‌مرغ,egg,die Eier,,Das Ei ist gekocht.,تخم‌مرغ پخته است.,ein Ei kochen,تخم‌مرغ پختن
Starten Wir,A1,3,Essen und Trinken,🔴 die,Wurst,Noun,سوسیس,sausage,die Würste,,Die Wurst ist lecker.,سوسیس خوشمزه است.,Wurst essen,سوسیس خوردن
Starten Wir,A1,3,Essen und Trinken,🔵 der,Schinken,Noun,ژامبون,ham,die Schinken,,Der Schinken ist dünn.,ژامبون نازک است.,,
Starten Wir,A1,3,Essen und Trinken,,einkaufen,Verb,خرید کردن,to shop,,kaufte ein | eingekauft,Ich kaufe im Supermarkt ein.,من از سوپرمارکت خرید می‌کنم.,im Supermarkt einkaufen,از سوپرمارکت خرید کردن
Starten Wir,A1,3,Essen und Trinken,,kaufen,Verb,خریدن,to buy,,kaufte | gekauft,Ich kaufe ein Buch.,من کتاب می‌خرم.,etwas kaufen,چیزی خریدن
Starten Wir,A1,3,Essen und Trinken,,brauchen,Verb,نیاز داشتن,to need,,brauchte | gebraucht,Ich brauche Hilfe.,من به کمک نیاز دارم.,etwas brauchen,به چیزی نیاز داشتن
Starten Wir,A1,3,Essen und Trinken,🔵 der,Preis,Noun,قیمت,price,die Preise,,Der Preis ist hoch.,قیمت بالا است.,der Preis für,قیمتِ ...
Starten Wir,A1,3,Essen und Trinken,🔵 der,Cent,Noun,سنت,cent,die Cent,,Es kostet 50 Cent.,قیمت ۵۰ سنت است.,,
Starten Wir,A1,3,Essen und Trinken,🔵 der,Euro,Noun,یورو,euro,die Euro,,Das kostet 10 Euro.,قیمت ۱۰ یورو است.,,
Starten Wir,A1,3,Essen und Trinken,,billig,Adjective,ارزان,cheap,,,Das Hemd ist billig.,پیراهن ارزان است.,,
Starten Wir,A1,3,Essen und Trinken,,teuer,Adjective,گران,expensive,,,Das Auto ist teuer.,ماشین گران است.,,
Starten Wir,A1,3,Essen und Trinken,,kosten,Verb,قیمت داشتن,to cost,,kostete | gekostet,Was kostet das?,قیمت این چقدر است؟,etwas kostet Geld,چیزی پول داشتن
Starten Wir,A1,3,Essen und Trinken,🟢 das,Kilo,Noun,کیلو,kilo,-,,Ein Kilo Äpfel.,یک کیلو سیب.,,
Starten Wir,A1,3,Essen und Trinken,🟢 das,Gramm,Noun,گرم,gram,-,,100 Gramm Schinken.,۱۰۰ گرم ژامبون.,,
Starten Wir,A1,3,Essen und Trinken,🔴 die,Flasche,Noun,بطری,bottle,die Flaschen,,Eine Flasche Wasser.,یک بطری آب.,,
